previous_record,timestamp,previous_record_date,county,record,state,record_date,station_name,id
62.0,1374537773,1970-01-28,ADAMS,66.0,IL,2013-01-28,QUINCY RGNL AP,2013-01-28--QUINCY-RGNL-AP
55.0,1374537773,2002-01-28,ROCK ISLAND,56.0,IL,2013-01-28,MOLINE WSO AP,2013-01-28--MOLINE-WSO-AP
47.0,1374537774,2006-01-28,WINNEBAGO,47.0,IL,2013-01-28,ROCKFORD AP,2013-01-28--ROCKFORD-AP
65.0,1374537775,1968-01-28,SHAWNEE,77.0,KS,2013-01-28,TOPEKA ASOS,2013-01-28--TOPEKA-ASOS
64.0,1374537775,1968-01-28,SHAWNEE,75.0,KS,2013-01-28,TOPEKA FORBES FLD,2013-01-28--TOPEKA-FORBES-FLD
62.0,1374537775,1968-01-28,JOHNSON,74.0,KS,2013-01-28,OLATHE JOHNSON CO AP,2013-01-28--OLATHE-JOHNSON-CO-AP
72.0,1374537775,2011-01-28,SEDGWICK,74.0,KS,2013-01-28,WICHITA MID-CONTINENT,2013-01-28--WICHITA-MID-CONTINENT
68.0,1374537775,1986-01-28,SHERMAN,69.0,KS,2013-01-28,GOODLAND RENNER FLD,2013-01-28--GOODLAND-RENNER-FLD
67.0,1374537775,2002-01-28,BOONE,77.0,MO,2013-01-28,COLUMBIA RGNL AP,2013-01-28--COLUMBIA-RGNL-AP
70.0,1374537775,2002-01-28,CALLAWAY,77.0,MO,2013-01-28,JEFFERSON CITY MEM AP,2013-01-28--JEFFERSON-CITY-MEM-AP
65.0,1374537775,1917-01-28,CLAY,76.0,MO,2013-01-28,KANSAS CY DOWNTOWN AP,2013-01-28--KANSAS-CY-DOWNTOWN-AP
72.0,1374537775,2002-01-28,GREENE,74.0,MO,2013-01-28,SPRINGFIELD WSO AP,2013-01-28--SPRINGFIELD-WSO-AP
59.0,1374537775,1968-01-28,BUCHANAN,73.0,MO,2013-01-28,ST JOSEPH ROSECRANS MEM,2013-01-28--ST-JOSEPH-ROSECRANS-MEM
75.0,1374537775,2011-01-28,KIOWA,77.0,OK,2013-01-28,HOBART MUNICIPAL  AIRPORT,2013-01-28--HOBART-MUNICIPAL--AIRPORT
72.0,1374537775,2011-01-28,KAY,77.0,OK,2013-01-28,PONCA CITY MUNI AP,2013-01-28--PONCA-CITY-MUNI-AP
72.0,1374537775,2011-01-28,OSAGE,76.0,OK,2013-01-28,BARTLESVILLE MUNICIPAL AP,2013-01-28--BARTLESVILLE-MUNICIPAL-AP
86.0,1374537782,1970-01-28,HIDALGO,86.0,TX,2013-01-28,MCALLEN INTL AP,2013-01-28--MCALLEN-INTL-AP
82.0,1374537782,2008-01-28,CAMERON,85.0,TX,2013-01-28,HARLINGEN RIO GRANDE AP,2013-01-28--HARLINGEN-RIO-GRANDE-AP
85.0,1374537782,1975-01-28,LA SALLE,85.0,TX,2013-01-28,COTULLA LA SALLE CO AP,2013-01-28--COTULLA-LA-SALLE-CO-AP
79.0,1374537782,2002-01-28,VAL VERDE,82.0,TX,2013-01-28,DEL RIO AP,2013-01-28--DEL-RIO-AP
79.0,1374537782,2002-01-28,BRAZOS,82.0,TX,2013-01-28,CLG STN EASTERWD AP,2013-01-28--CLG-STN-EASTERWD-AP
80.0,1374537782,1970-01-28,WICHITA,81.0,TX,2013-01-28,WICHITA FALLS MUNI AP,2013-01-28--WICHITA-FALLS-MUNI-AP
81.0,1374537782,1970-01-28,MCLENNAN,81.0,TX,2013-01-28,WACO RGNL AP,2013-01-28--WACO-RGNL-AP
77.0,1374537782,1975-01-28,GREGG,80.0,TX,2013-01-28,LONGVIEW E TX RGNL AP,2013-01-28--LONGVIEW-E-TX-RGNL-AP
77.0,1374537782,1977-01-28,MATAGORDA,79.0,TX,2013-01-28,PALACIOS MUNI AP,2013-01-28--PALACIOS-MUNI-AP
73.0,1374537783,1975-01-28,SMITH,79.0,TX,2013-01-28,TYLER POUNDS FLD,2013-01-28--TYLER-POUNDS-FLD
78.0,1374537783,1956-01-28,TRAVIS,78.0,TX,2013-01-28,AUSTIN BERGSTROM,2013-01-28--AUSTIN-BERGSTROM
77.0,1374537783,1987-01-28,TARRANT,77.0,TX,2013-01-28,FT WORTH MEACHAM FLD,2013-01-28--FT-WORTH-MEACHAM-FLD
74.0,1374537783,1947-01-29,COLBERT,74.0,AL,2013-01-29,MUSCLE SHOALS AP,2013-01-29--MUSCLE-SHOALS-AP
82.0,1374537783,1975-01-29,ALACHUA,82.0,FL,2013-01-29,GAINESVILLE RGNL AP,2013-01-29--GAINESVILLE-RGNL-AP
81.0,1374537783,2002-01-29,BACON,83.0,GA,2013-01-29,ALMA BACON CO AP,2013-01-29--ALMA-BACON-CO-AP
80.0,1374537783,2002-01-29,RICHMOND,80.0,GA,2013-01-29,AUGUSTA BUSH FLD AP,2013-01-29--AUGUSTA-BUSH-FLD-AP
56.0,1374537784,1992-01-29,POLK,59.0,IA,2013-01-29,DES MOINES AP,2013-01-29--DES-MOINES-AP
49.0,1374537784,1988-01-29,LINN,58.0,IA,2013-01-29,CEDAR RAPIDS AP,2013-01-29--CEDAR-RAPIDS-AP
46.0,1374537784,2006-01-29,DUBUQUE,55.0,IA,2013-01-29,DUBUQUE WSO AP,2013-01-29--DUBUQUE-WSO-AP
61.0,1374537785,1914-01-29,PEORIA,64.0,IL,2013-01-29,PEORIA INTERNATIONAL AP,2013-01-29--PEORIA-INTERNATIONAL-AP
64.0,1374537785,2008-01-29,SANGAMON,64.0,IL,2013-01-29,SPRINGFIELD LINCOLN AP,2013-01-29--SPRINGFIELD-LINCOLN-AP
51.0,1374537785,1968-01-29,COOK,63.0,IL,2013-01-29,CHICAGO OHARE AP,2013-01-29--CHICAGO-OHARE-AP
60.0,1374537785,2008-01-29,ADAMS,63.0,IL,2013-01-29,QUINCY RGNL AP,2013-01-29--QUINCY-RGNL-AP
49.0,1374537785,1968-01-29,WINNEBAGO,62.0,IL,2013-01-29,ROCKFORD AP,2013-01-29--ROCKFORD-AP
55.0,1374537785,1988-01-29,ROCK ISLAND,62.0,IL,2013-01-29,MOLINE WSO AP,2013-01-29--MOLINE-WSO-AP
59.0,1374537785,1975-01-29,ALLEN,60.0,IN,2013-01-29,FORT WAYNE AP,2013-01-29--FORT-WAYNE-AP
58.0,1374537785,1914-01-29,ST. JOSEPH,59.0,IN,2013-01-29,SOUTH BEND AP,2013-01-29--SOUTH-BEND-AP
62.0,1374537785,1992-01-29,SHAWNEE,70.0,KS,2013-01-29,TOPEKA ASOS,2013-01-29--TOPEKA-ASOS
70.0,1374537785,2002-01-29,MCCRACKEN,71.0,KY,2013-01-29,PADUCAH BARKLEY AP,2013-01-29--PADUCAH-BARKLEY-AP
81.0,1374537785,1975-01-29,EAST BATON ROUGE,81.0,LA,2013-01-29,BATON ROUGE METRO AP,2013-01-29--BATON-ROUGE-METRO-AP
71.0,1374537785,2002-01-29,WICOMICO,72.0,MD,2013-01-29,SALISBURY FAA AP,2013-01-29--SALISBURY-FAA-AP
54.0,1374537785,1914-01-29,MUSKEGON,59.0,MI,2013-01-29,MUSKEGON CO AP,2013-01-29--MUSKEGON-CO-AP
48.0,1374537785,2006-01-29,KENT,58.0,MI,2013-01-29,GERALD R FORD INTL AP,2013-01-29--GERALD-R-FORD-INTL-AP
52.0,1374537785,2006-01-29,GENESEE,58.0,MI,2013-01-29,FLINT FCWOS,2013-01-29--FLINT-FCWOS
51.0,1374537785,2006-01-29,JACKSON,58.0,MI,2013-01-29,JACKSON COUNTY AP,2013-01-29--JACKSON-COUNTY-AP
54.0,1374537785,2006-01-29,WAYNE,57.0,MI,2013-01-29,DETROIT METRO AIRPORT,2013-01-29--DETROIT-METRO-AIRPORT
50.0,1374537785,2006-01-29,CLINTON,57.0,MI,2013-01-29,LANSING CAPITAL CY AP,2013-01-29--LANSING-CAPITAL-CY-AP
50.0,1374537785,1914-01-29,GRAND TRAVERSE,51.0,MI,2013-01-29,TRAVERSE CITY FAA AP,2013-01-29--TRAVERSE-CITY-FAA-AP
41.0,1374537785,2008-01-29,ROSCOMMON,48.0,MI,2013-01-29,HOUGHTON ROSCOMMON AP,2013-01-29--HOUGHTON-ROSCOMMON-AP
44.0,1374537785,2008-01-29,EMMET,47.0,MI,2013-01-29,PELLSTON RGNL AP,2013-01-29--PELLSTON-RGNL-AP
64.0,1374537785,2008-01-29,BOONE,70.0,MO,2013-01-29,COLUMBIA RGNL AP,2013-01-29--COLUMBIA-RGNL-AP
63.0,1374537786,1919-01-29,CLAY,70.0,MO,2013-01-29,KANSAS CY DOWNTOWN AP,2013-01-29--KANSAS-CY-DOWNTOWN-AP
61.0,1374537786,1992-01-29,BUCHANAN,68.0,MO,2013-01-29,ST JOSEPH ROSECRANS MEM,2013-01-29--ST-JOSEPH-ROSECRANS-MEM
75.0,1374537786,2011-01-29,LEE,76.0,MS,2013-01-29,TUPELO RGNL AP,2013-01-29--TUPELO-RGNL-AP
54.0,1374537786,1932-01-29,ERIE,58.0,NY,2013-01-29,BUFFALO NIAGARA INTL,2013-01-29--BUFFALO-NIAGARA-INTL
49.0,1374537786,1950-01-29,JEFFERSON,51.0,NY,2013-01-29,WATERTOWN AP,2013-01-29--WATERTOWN-AP
65.0,1374537786,2002-01-29,FRANKLIN,67.0,OH,2013-01-29,COLUMBUS WSO AP,2013-01-29--COLUMBUS-WSO-AP
67.0,1374537786,2002-01-29,MUSKINGUM,67.0,OH,2013-01-29,ZANESVILLE FAA AP,2013-01-29--ZANESVILLE-FAA-AP
60.0,1374537786,2002-01-29,HANCOCK,61.0,OH,2013-01-29,FINDLAY FAA AP,2013-01-29--FINDLAY-FAA-AP
60.0,1374537786,2002-01-29,RICHLAND,60.0,OH,2013-01-29,MANSFIELD WSO AP,2013-01-29--MANSFIELD-WSO-AP
59.0,1374537786,1975-01-29,LUCAS,59.0,OH,2013-01-29,TOLEDO EXPRESS WSO AP,2013-01-29--TOLEDO-EXPRESS-WSO-AP
59.0,1374537786,1932-01-29,ERIE,62.0,PA,2013-01-29,ERIE WSO AP,2013-01-29--ERIE-WSO-AP
76.0,1374537786,1975-01-29,SHELBY,76.0,TN,2013-01-29,MEMPHIS INTL AP,2013-01-29--MEMPHIS-INTL-AP
70.0,1374537786,1970-01-29,SULLIVAN,70.0,TN,2013-01-29,BRISTOL AP,2013-01-29--BRISTOL-AP
86.0,1374537786,2008-01-29,LA SALLE,94.0,TX,2013-01-29,COTULLA LA SALLE CO AP,2013-01-29--COTULLA-LA-SALLE-CO-AP
86.0,1374537786,2008-01-29,NUECES,91.0,TX,2013-01-29,CORPUS CHRISTI AP,2013-01-29--CORPUS-CHRISTI-AP
90.0,1374537786,1999-01-29,HIDALGO,90.0,TX,2013-01-29,MCALLEN INTL AP,2013-01-29--MCALLEN-INTL-AP
84.0,1374537786,2008-01-29,MEDINA,90.0,TX,2013-01-29,HONDO MUNI AP,2013-01-29--HONDO-MUNI-AP
81.0,1374537786,1971-01-29,VAL VERDE,87.0,TX,2013-01-29,DEL RIO AP,2013-01-29--DEL-RIO-AP
83.0,1374537786,1987-01-29,BEXAR,86.0,TX,2013-01-29,SAN ANTONIO INT'L AP,2013-01-29--SAN-ANTONIO-INT'L-AP
82.0,1374537786,2006-01-29,TRAVIS,85.0,TX,2013-01-29,AUSTIN BERGSTROM,2013-01-29--AUSTIN-BERGSTROM
80.0,1374537787,2002-01-29,MCLENNAN,81.0,TX,2013-01-29,WACO RGNL AP,2013-01-29--WACO-RGNL-AP
78.0,1374537787,2002-01-29,TARRANT,80.0,TX,2013-01-29,DAL-FTW WSCMO AP,2013-01-29--DAL-FTW-WSCMO-AP
79.0,1374537787,1984-01-29,TARRANT,79.0,TX,2013-01-29,FT WORTH MEACHAM FLD,2013-01-29--FT-WORTH-MEACHAM-FLD
48.0,1374537787,2006-01-29,MILWAUKEE,60.0,WI,2013-01-29,MILWAUKEE MITCHELL AP,2013-01-29--MILWAUKEE-MITCHELL-AP
46.0,1374537787,2006-01-29,DANE,54.0,WI,2013-01-29,MADISON DANE CO AP,2013-01-29--MADISON-DANE-CO-AP
40.0,1374537787,2008-01-29,BROWN,45.0,WI,2013-01-29,GREEN BAY A S INTL AP,2013-01-29--GREEN-BAY-A-S-INTL-AP
43.0,1374537787,2008-01-29,LA CROSSE,44.0,WI,2013-01-29,LA CROSSE MUNI AP,2013-01-29--LA-CROSSE-MUNI-AP
71.0,1374537787,2002-01-29,WAYNE,87.0,WV,2013-01-29,HUNTINGTON TRI ST AP,2013-01-29--HUNTINGTON-TRI-ST-AP
68.0,1374537787,2002-01-29,WOOD,69.0,WV,2013-01-29,PARKERSBURG FAA AP,2013-01-29--PARKERSBURG-FAA-AP
64.0,1374537787,2002-01-29,MERCER,68.0,WV,2013-01-29,BLUEFIELD MERCER CO AP,2013-01-29--BLUEFIELD-MERCER-CO-AP
66.0,1374537787,2002-01-29,RALEIGH,67.0,WV,2013-01-29,BECKLEY RALEIGH COUNTY AP,2013-01-29--BECKLEY-RALEIGH-COUNTY-AP
43.0,1377485388,1988-01-01,YUKON-KOYUKUK,47.0,AK,2013-01-01,MCGRATH AP,2013-01-01--MCGRATH-AP
40.0,1377485388,1981-01-01,MATANUSKA-SUSITNA BOROUGH,40.0,AK,2013-01-01,TALKEETNA AP,2013-01-01--TALKEETNA-AP
82.0,1377485388,1982-01-04,BROWARD,83.0,FL,2013-01-04,FORT LAUDERDALE HOLLYWOOD INTL AP,2013-01-04--FORT-LAUDERDALE-HOLLYWOOD-INTL-AP
71.0,1377485389,1962-01-07,SANTA CLARA,97.0,CA,2013-01-07,SAN JOSE,2013-01-07--SAN-JOSE
62.0,1377485389,2012-01-08,PLACER,62.0,CA,2013-01-08,BLUE CANYON AP,2013-01-08--BLUE-CANYON-AP
84.0,1377485389,1991-01-08,HILLSBOROUGH,84.0,FL,2013-01-08,TAMPA INTL AP,2013-01-08--TAMPA-INTL-AP
82.0,1377485389,1997-01-08,SARASOTA,83.0,FL,2013-01-08,SARASOTA BRADENTON AP,2013-01-08--SARASOTA-BRADENTON-AP
41.0,1377485389,2003-01-08,CHIPPEWA,41.0,MI,2013-01-08,SAULT STE MARIE SANDERSON FIELD,2013-01-08--SAULT-STE-MARIE-SANDERSON-FIELD
48.0,1377485389,1983-01-08,UINTA,48.0,WY,2013-01-08,EVANSTON UINTA CO BURNS FIELD,2013-01-08--EVANSTON-UINTA-CO-BURNS-FIELD
85.0,1377485389,1974-01-09,LEE,88.0,FL,2013-01-09,FORT MYERS PAGE FIELD AP,2013-01-09--FORT-MYERS-PAGE-FIELD-AP
82.0,1377485389,1972-01-09,HILLSBOROUGH,85.0,FL,2013-01-09,TAMPA INTL AP,2013-01-09--TAMPA-INTL-AP
84.0,1377485389,1997-01-09,ORANGE,84.0,FL,2013-01-09,ORLANDO INTL AP,2013-01-09--ORLANDO-INTL-AP
82.0,1377485389,2005-01-09,PINELLAS,83.0,FL,2013-01-09,ST PETERSBURG CLEARWATER INTL AP,2013-01-09--ST-PETERSBURG-CLEARWATER-INTL-AP
48.0,1377485389,2003-01-09,KALAMAZOO,48.0,MI,2013-01-09,KALAMAZOO BATTLE CREEK INTL AP,2013-01-09--KALAMAZOO-BATTLE-CREEK-INTL-AP
68.0,1377485389,1965-01-09,DARE,68.0,NC,2013-01-09,CAPE HATTERAS BILLY MITCHELL AP,2013-01-09--CAPE-HATTERAS-BILLY-MITCHELL-AP
55.0,1377485389,2012-01-09,CHEYENNE,55.0,NE,2013-01-09,SIDNEY MUNICIPAL AP,2013-01-09--SIDNEY-MUNICIPAL-AP
43.0,1377485389,1996-01-09,UINTA,58.0,WY,2013-01-09,EVANSTON UINTA CO BURNS FIELD,2013-01-09--EVANSTON-UINTA-CO-BURNS-FIELD
82.0,1377485389,2000-01-10,SEMINOLE,82.0,FL,2013-01-10,ORLANDO SANFORD AP,2013-01-10--ORLANDO-SANFORD-AP
82.0,1377485389,2008-01-11,SEMINOLE,82.0,FL,2013-01-11,ORLANDO SANFORD AP,2013-01-11--ORLANDO-SANFORD-AP
45.0,1377485389,2003-01-12,BRISTOL BAY BOROUGH,49.0,AK,2013-01-12,KING SALMON AP,2013-01-12--KING-SALMON-AP
46.0,1377485389,1942-01-12,KENAI PENINSULA BOROUGH,47.0,AK,2013-01-12,HOMER AP,2013-01-12--HOMER-AP
76.0,1377485389,1950-01-12,MONTGOMERY,80.0,AL,2013-01-12,MONTGOMERY AP,2013-01-12--MONTGOMERY-AP
79.0,1377485389,1939-01-12,DALE,80.0,AL,2013-01-12,DOTHAN REGIONAL AP,2013-01-12--DOTHAN-REGIONAL-AP
76.0,1377485389,1993-01-12,MOBILE,76.0,AL,2013-01-12,MOBILE REGIONAL AP,2013-01-12--MOBILE-REGIONAL-AP
73.0,1377485389,1972-01-12,CALHOUN,75.0,AL,2013-01-12,ANNISTON METROPOLITAN AP,2013-01-12--ANNISTON-METROPOLITAN-AP
70.0,1377485389,1995-01-12,COLBERT,73.0,AL,2013-01-12,MUSCLE SHOALS REGIONAL AP,2013-01-12--MUSCLE-SHOALS-REGIONAL-AP
73.0,1377485389,1950-01-12,JEFFERSON,73.0,AL,2013-01-12,BIRMINGHAM AP,2013-01-12--BIRMINGHAM-AP
70.0,1377485390,1960-01-12,MADISON,72.0,AL,2013-01-12,HUNTSVILLE INTL AP JONES FIELD,2013-01-12--HUNTSVILLE-INTL-AP-JONES-FIELD
85.0,1377485390,1993-01-12,LEE,85.0,FL,2013-01-12,FORT MYERS PAGE FIELD AP,2013-01-12--FORT-MYERS-PAGE-FIELD-AP
82.0,1377485390,1993-01-12,SARASOTA,84.0,FL,2013-01-12,SARASOTA BRADENTON AP,2013-01-12--SARASOTA-BRADENTON-AP
82.0,1377485390,1989-01-12,PINELLAS,83.0,FL,2013-01-12,ST PETERSBURG CLEARWATER INTL AP,2013-01-12--ST-PETERSBURG-CLEARWATER-INTL-AP
83.0,1377485390,1993-01-12,ORANGE,83.0,FL,2013-01-12,ORLANDO INTL AP,2013-01-12--ORLANDO-INTL-AP
82.0,1377485390,1989-01-12,HILLSBOROUGH,83.0,FL,2013-01-12,TAMPA INTL AP,2013-01-12--TAMPA-INTL-AP
79.0,1377485390,1949-01-12,LEON,79.0,FL,2013-01-12,TALLAHASSEE REGIONAL AP,2013-01-12--TALLAHASSEE-REGIONAL-AP
77.0,1377485390,1950-01-12,OKALOOSA,78.0,FL,2013-01-12,CRESTVIEW BOB SIKES AP,2013-01-12--CRESTVIEW-BOB-SIKES-AP
79.0,1377485390,1950-01-12,BACON,81.0,GA,2013-01-12,ALMA BACON COUNTY AP,2013-01-12--ALMA-BACON-COUNTY-AP
79.0,1377485390,1949-01-12,CHATHAM,81.0,GA,2013-01-12,SAVANNAH INTL AP,2013-01-12--SAVANNAH-INTL-AP
76.0,1377485390,2000-01-12,RICHMOND,81.0,GA,2013-01-12,AUGUSTA BUSH FIELD AP,2013-01-12--AUGUSTA-BUSH-FIELD-AP
75.0,1377485390,1949-01-12,BIBB,78.0,GA,2013-01-12,MACON MIDDLE GA REGIONAL AP,2013-01-12--MACON-MIDDLE-GA-REGIONAL-AP
75.0,1377485390,1950-01-12,MUSCOGEE,77.0,GA,2013-01-12,COLUMBUS METROPOLITAN AP,2013-01-12--COLUMBUS-METROPOLITAN-AP
71.0,1377485390,1995-01-12,FULTON,76.0,GA,2013-01-12,ATLANTA HARTSFIELD INTL AP,2013-01-12--ATLANTA-HARTSFIELD-INTL-AP
71.0,1377485390,2005-01-12,FULTON,75.0,GA,2013-01-12,ATLANTA FULTON COUNTY AP,2013-01-12--ATLANTA-FULTON-COUNTY-AP
69.0,1377485390,1898-01-12,WARREN,70.0,KY,2013-01-12,BOWLING GREEN WARREN COUNTY AP,2013-01-12--BOWLING-GREEN-WARREN-COUNTY-AP
69.0,1377485390,2005-01-12,MCCRACKEN,69.0,KY,2013-01-12,PADUCAH BARKLEY REGIONAL AP,2013-01-12--PADUCAH-BARKLEY-REGIONAL-AP
63.0,1377485390,2005-01-12,WICOMICO,63.0,MD,2013-01-12,SALISBURY WICOMICO REGIONAL AP,2013-01-12--SALISBURY-WICOMICO-REGIONAL-AP
58.0,1377485390,1995-01-12,JACKSON,61.0,MI,2013-01-12,JACKSON REYNOLDS FIELD,2013-01-12--JACKSON-REYNOLDS-FIELD
58.0,1377485390,2005-01-12,GENESEE,60.0,MI,2013-01-12,FLINT BISHOP INTL AP,2013-01-12--FLINT-BISHOP-INTL-AP
54.0,1377485390,1995-01-12,OAKLAND,59.0,MI,2013-01-12,PONTIAC OAKLAND COUNTY INTL AP,2013-01-12--PONTIAC-OAKLAND-COUNTY-INTL-AP
58.0,1377485390,1995-01-12,WAYNE,59.0,MI,2013-01-12,DETROIT METROPOLITAN AP,2013-01-12--DETROIT-METROPOLITAN-AP
58.0,1377485390,1995-01-12,WAYNE,59.0,MI,2013-01-12,DETROIT CITY AP,2013-01-12--DETROIT-CITY-AP
55.0,1377485393,2006-01-12,KALAMAZOO,58.0,MI,2013-01-12,KALAMAZOO BATTLE CREEK INTL AP,2013-01-12--KALAMAZOO-BATTLE-CREEK-INTL-AP
58.0,1377485393,2005-01-12,CLINTON,58.0,MI,2013-01-12,LANSING CAPITAL CITY AP,2013-01-12--LANSING-CAPITAL-CITY-AP
